English Name,Scientific Name,SoIB 2023 Priority Status,SoIB 2023 Long-term Trend Status,SoIB 2023 Current Annual Trend Status,SoIB 2023 Distribution Range Size Status,eBird English Name 2022,eBird Scientific Name 2022,BLI English Name 2022,BLI Scientific Name 2022,Order,Family,Breeding Activity Period,Non-breeding Activity Period,Diet Guild,Endemicity,Endemic to India,Endemic to Subcontinent,Endemic to Himalaya,Habitat Specialization,Migratory Status within India,Restricted to Islands,IUCN Category,WPA Schedule,CITES Appendix,CMS Appendix,1% Population Threshold,Selected for SoIB,Selected for Long-term Trend,Selected for Current Annual Trend,Long-term Trend LCI,Long-term Trend Mean,Long-term Trend UCI,Current Annual Trend LCI,Current Annual Trend Mean,Current Annual Trend UCI,Distribution Range Size LCI,Distribution Range Size Mean,Distribution Range Size UCI,Number of Grids,Range Coverage (Pre-2000),Range Coverage (Current),Range Coverage (2022),Grid Coverage Mean,Grid Coverage CI,Projected % Decline in 3 Generations,Regional Red List Category,SoIB 2020 Concern Status,SoIB 2020 Long-term Trend Status,SoIB 2020 Current Annual Trend Status,SoIB 2020 Distribution Range Size Status
Dunlin,Calidris alpina,High,Rapid Decline,Rapid Decline,Moderate,Dunlin,Calidris alpina,Dunlin,Calidris alpina,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-89.6,-86.4,-82.4,-8,-6,-4,63970,63970,63970,198,15,28,38,12,1,,,Moderate,Strong Decline,Uncertain,Moderate
Little Stint,Calidris minuta,High,Rapid Decline,Rapid Decline,Large,Little Stint,Calidris minuta,Little Stint,Calidris minuta,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-71.1,-66.6,-61.4,-5.5,-4.3,-3.1,920160,920760,921360,1214,10,33,46,12,0,33,,Moderate,Strong Decline,Uncertain,Large
Buff-breasted Sandpiper,Calidris subruficollis,,,,,Buff-breasted Sandpiper,Calidris subruficollis,Buff-breasted Sandpiper,Calidris subruficollis,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Uncertain,FALSE,Near Threatened,Schedule-II,,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,24,1,,,,,,
Pectoral Sandpiper,Calidris melanotos,,,,,Pectoral Sandpiper,Calidris melanotos,Pectoral Sandpiper,Calidris melanotos,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Passage Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Asian Dowitcher,Limnodromus semipalmatus,,,,,Asian Dowitcher,Limnodromus semipalmatus,Asian Dowitcher,Limnodromus semipalmatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Near Threatened,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,10,6,,,,,,
Long-billed Dowitcher,Limnodromus scolopaceus,,,,,Long-billed Dowitcher,Limnodromus scolopaceus,Long-billed Dowitcher,Limnodromus scolopaceus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,2,50,,,18,1,,,,,,
Jack Snipe,Lymnocryptes minimus,,,,,Jack Snipe,Lymnocryptes minimus,Jack Snipe,Lymnocryptes minimus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,250,FALSE,FALSE,FALSE,,,,,,,,,,54,20,14,15,17,2,,,,,,
Eurasian Woodcock,Scolopax rusticola,,,,,Eurasian Woodcock,Scolopax rusticola,Eurasian Woodcock,Scolopax rusticola,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest & Plantation,Local Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,34,29,21,41,15,2,,,,,,
Solitary Snipe,Gallinago solitaria,,,,,Solitary Snipe,Gallinago solitaria,Solitary Snipe,Gallinago solitaria,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,FALSE,FALSE,FALSE,,,,,,,,,,12,58,20,33,11,3,,,,,,
Wood Snipe,Gallinago nemoricola,,,,,Wood Snipe,Gallinago nemoricola,Wood Snipe,Gallinago nemoricola,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Forest,Winter Migrant,FALSE,Vulnerable,Schedule-I,,Appendix II,70,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,18,14,,,,,,
Great Snipe,Gallinago media,,,,,Great Snipe,Gallinago media,Great Snipe,Gallinago media,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Near Threatened,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,100,,,24,,,,,,,
Common Snipe,Gallinago gallinago,Low,Trend Inconclusive,Trend Inconclusive,Large,Common Snipe,Gallinago gallinago,Common Snipe,Gallinago gallinago,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,10000,TRUE,TRUE,TRUE,-90,-51,158.2,-24.1,-3.1,17.9,971660,972360,973060,1169,8,32,45,13,0,,,Low,Stable,Uncertain,Large
Pintail Snipe,Gallinago stenura,High,Decline,Rapid Decline,Moderate,Pin-tailed Snipe,Gallinago stenura,Pintail Snipe,Gallinago stenura,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,10000,TRUE,TRUE,TRUE,-67.2,-55,-39.5,-8.5,-6.2,-3.9,205760,206390,207020,320,12,30,38,17,1,35,,Moderate,Moderate Decline,Uncertain,Moderate
Swinhoe's Snipe,Gallinago megala,,,,,Swinhoe's Snipe,Gallinago megala,Swinhoe's Snipe,Gallinago megala,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Terek Sandpiper,Xenus cinereus,High,Rapid Decline,Rapid Decline,Moderate,Terek Sandpiper,Xenus cinereus,Terek Sandpiper,Xenus cinereus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-85.3,-80.7,-75,-8.8,-7.1,-5.4,63620,63940,64260,166,19,38,47,13,1,49,Vulnerable,Low,Data Deficient,Uncertain,Moderate
Red-necked Phalarope,Phalaropus lobatus,,,,,Red-necked Phalarope,Phalaropus lobatus,Red-necked Phalarope,Phalaropus lobatus,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,24,17,14,17,13,3,,,,,,
Red Phalarope,Phalaropus fulicarius,,,,,Red Phalarope,Phalaropus fulicarius,Red Phalarope,Phalaropus fulicarius,Charadriiformes,Scolopacidae (Sandpipers and Allies),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Passage Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Common Sandpiper,Actitis hypoleucos,Moderate,Decline,Decline,Very Large,Common Sandpiper,Actitis hypoleucos,Common Sandpiper,Actitis hypoleucos,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,710,TRUE,TRUE,TRUE,-51.7,-46.1,-39.8,-4.6,-3.7,-2.7,1921690,1922110,1922530,2728,11,40,56,10,0,30,Near Threatened,Moderate,Moderate Decline,Strong Decline,Large
Green Sandpiper,Tringa ochropus,Low,Decline,Stable,Very Large,Green Sandpiper,Tringa ochropus,Green Sandpiper,Tringa ochropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-52.1,-45.5,-38.1,-2.3,-1,0.4,1747550,1748040,1748530,2172,10,36,53,11,0,,,Moderate,Moderate Decline,Uncertain,Very Large
Grey-tailed Tattler,Tringa brevipes,,,,,Gray-tailed Tattler,Tringa brevipes,Grey-tailed Tattler,Tringa brevipes,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Near Threatened,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Spotted Redshank,Tringa erythropus,High,Rapid Decline,Rapid Decline,Large,Spotted Redshank,Tringa erythropus,Spotted Redshank,Tringa erythropus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,250,TRUE,TRUE,TRUE,-68,-61,-51.4,-8.3,-7,-5.6,570580,571320,572060,671,7,28,37,12,1,,,Low,Uncertain,Uncertain,Large
Common Greenshank,Tringa nebularia,High,Rapid Decline,Rapid Decline,Very Large,Common Greenshank,Tringa nebularia,Common Greenshank,Tringa nebularia,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-I,,Appendix II,710,TRUE,TRUE,TRUE,-67.5,-62.6,-56.8,-5.6,-4.5,-3.3,1162520,1163120,1163720,1569,11,34,48,12,0,,,High,Strong Decline,Moderate Decline,Large
Nordmann's Greenshank,Tringa guttifer,,,,,Nordmann's Greenshank,Tringa guttifer,Spotted Greenshank,Tringa guttifer,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Endangered,Recent addition,Appendix I,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Marsh Sandpiper,Tringa stagnatilis,High,Rapid Decline,Rapid Decline,Large,Marsh Sandpiper,Tringa stagnatilis,Marsh Sandpiper,Tringa stagnatilis,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-67.9,-62.4,-56.5,-6.8,-5.7,-4.6,520400,520400,520400,1110,10,33,42,12,0,46,Vulnerable,Moderate,Moderate Decline,Uncertain,Large
Wood Sandpiper,Tringa glareola,Moderate,Trend Inconclusive,Decline,Very Large,Wood Sandpiper,Tringa glareola,Wood Sandpiper,Tringa glareola,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1400,TRUE,TRUE,TRUE,-34.8,-26.3,-16.7,-4.1,-2.9,-1.7,1535600,1536160,1536720,2078,8,38,54,11,0,16,,Low,Stable,Moderate Decline,Very Large
Common Redshank,Tringa totanus,High,Rapid Decline,Decline,Large,Common Redshank,Tringa totanus,Common Redshank,Tringa totanus,Charadriiformes,Scolopacidae (Sandpipers and Allies),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-70.5,-65.1,-58.8,-5.8,-4.3,-2.9,726930,727480,728030,1079,12,34,45,11,0,,,Moderate,Moderate Decline,Uncertain,Large
Small Buttonquail,Turnix sylvaticus,,,,,Small Buttonquail,Turnix sylvaticus,Common Buttonquail,Turnix sylvaticus,Charadriiformes,Turnicidae (Buttonquail),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Local Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,13,23,22,15,14,3,,,,,,
Yellow-legged Buttonquail,Turnix tanki,Moderate,Insufficient Data,Insufficient Data,Restricted,Yellow-legged Buttonquail,Turnix tanki,Yellow-legged Buttonquail,Turnix tanki,Charadriiformes,Turnicidae (Buttonquail),Diurnal,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Non-specialized,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,13930,15450,16970,35,9,9,9,15,2,,,Moderate,Data Deficient,Data Deficient,Moderate
Barred Buttonquail,Turnix suscitator,Low,Insufficient Data,Insufficient Data,Very Large,Barred Buttonquail,Turnix suscitator,Barred Buttonquail,Turnix suscitator,Charadriiformes,Turnicidae (Buttonquail),24 hour,Diurnal,Plant & Seed,Non-endemic,FALSE,FALSE,FALSE,Grassland & Scrub,Resident,FALSE,Least Concern,Schedule-II,,,,TRUE,FALSE,FALSE,,,,,,,1006900,1007700,1008500,1087,3,28,47,13,0,,,Low,Uncertain,Uncertain,Large
Crab-plover,Dromas ardeola,Moderate,Insufficient Data,Insufficient Data,Restricted,Crab-Plover,Dromas ardeola,Crab-plover,Dromas ardeola,Charadriiformes,Dromadidae (Crab-Plover),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,FALSE,FALSE,,,,,,,7910,8210,8510,33,33,24,27,11,2,,,,,,
Cream-coloured Courser,Cursorius cursor,,,,,Cream-colored Courser,Cursorius cursor,Cream-coloured Courser,Cursorius cursor,Charadriiformes,Glareolidae (Pratincoles and Coursers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Grassland,Resident & Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,40,12,29,30,10,2,,,,,,
Indian Courser,Cursorius coromandelicus,High,Rapid Decline,Decline,Large,Indian Courser,Cursorius coromandelicus,Indian Courser,Cursorius coromandelicus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Diurnal,Diurnal,Invertebrate,Indian Subcontinent,FALSE,TRUE,FALSE,Grassland,Resident,FALSE,Least Concern,Schedule-I,,,,TRUE,TRUE,TRUE,-80.4,-76.6,-72.2,-5.7,-4.3,-2.9,359680,360420,361160,432,7,24,37,12,1,28,,Moderate,Moderate Decline,Strong Decline,Large
Jerdon's Courser,Rhinoptilus bitorquatus,High,Insufficient Data,Insufficient Data,Historical,Jerdon's Courser,Rhinoptilus bitorquatus,Jerdon's Courser,Rhinoptilus bitorquatus,Charadriiformes,Glareolidae (Pratincoles and Coursers),Nocturnal,Nocturnal,Invertebrate,Eastern Andhra Pradesh,TRUE,TRUE,FALSE,Forest,Resident,FALSE,Critically Endangered,Schedule-I,,,1,TRUE,FALSE,FALSE,,,,,,,0,0,0,,,,,,,,,High,Data Deficient,Data Deficient,Data Deficient
Collared Pratincole,Glareola pratincola,,,,,Collared Pratincole,Glareola pratincola,Collared Pratincole,Glareola pratincola,Charadriiformes,Glareolidae (Pratincoles and Coursers),24 hour,24 hour,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Open Habitat,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,51,,28,37,13,2,,,,,,
Oriental Pratincole,Glareola maldivarum,Low,Insufficient Data,Trend Inconclusive,Moderate,Oriental Pratincole,Glareola maldivarum,Oriental Pratincole,Glareola maldivarum,Charadriiformes,Glareolidae (Pratincoles and Coursers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Summer Migrant & Localized Winter Migrant,FALSE,Least Concern,Schedule-II,,,1000,TRUE,FALSE,TRUE,,,,-4.8,-1.9,1,59900,60570,61240,157,7,27,38,15,1,,,Moderate,Data Deficient,Uncertain,Restricted
Small Pratincole,Glareola lactea,Moderate,Rapid Decline,Trend Inconclusive,Large,Small Pratincole,Glareola lactea,Little Pratincole,Glareola lactea,Charadriiformes,Glareolidae (Pratincoles and Coursers),Diurnal,Diurnal,Invertebrate,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident,FALSE,Least Concern,Schedule-II,,,710,TRUE,TRUE,TRUE,-68.5,-63.3,-57.1,-3.8,-2.3,-0.9,809480,810210,810940,942,7,29,45,13,0,,,Moderate,Strong Decline,Uncertain,Large
South Polar Skua,Stercorarius maccormicki,,,,,South Polar Skua,Stercorarius maccormicki,South Polar Skua,Catharacta maccormicki,Charadriiformes,Stercorariidae (Skuas and Jaegers),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Brown Skua,Stercorarius antarcticus,,,,,Brown Skua,Stercorarius antarcticus,Brown Skua,Catharacta antarctica,Charadriiformes,Stercorariidae (Skuas and Jaegers),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Summer Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Pomarine Skua,Stercorarius pomarinus,,,,,Pomarine Jaeger,Stercorarius pomarinus,Pomarine Jaeger,Stercorarius pomarinus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,14,,,,,,,
Arctic Skua,Stercorarius parasiticus,,,,,Parasitic Jaeger,Stercorarius parasiticus,Arctic Jaeger,Stercorarius parasiticus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,9,11,14,11,14,6,,,,,,
Long-tailed Skua,Stercorarius longicaudus,,,,,Long-tailed Jaeger,Stercorarius longicaudus,Long-tailed Jaeger,Stercorarius longicaudus,Charadriiformes,Stercorariidae (Skuas and Jaegers),Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Passage Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,25,,,,,,,
Black-legged Kittiwake,Rissa tridactyla,,,,,Black-legged Kittiwake,Rissa tridactyla,Black-legged Kittiwake,Rissa tridactyla,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Vulnerable,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,3,,,,8,6,,,,,,
Sabine's Gull,Xema sabini,,,,,Sabine's Gull,Xema sabini,Sabine's Gull,Xema sabini,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Slender-billed Gull,Chroicocephalus genei,High,Rapid Decline,Rapid Decline,Moderate,Slender-billed Gull,Chroicocephalus genei,Slender-billed Gull,Larus genei,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Within-India Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,,TRUE,TRUE,TRUE,-77.8,-71.1,-62.2,-9.6,-8,-6.4,55510,55910,56310,130,12,38,40,13,1,,,Low,Data Deficient,Uncertain,Moderate
Black-headed Gull,Chroicocephalus ridibundus,High,Rapid Decline,Decline,Large,Black-headed Gull,Chroicocephalus ridibundus,Black-headed Gull,Larus ridibundus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,,10000,TRUE,TRUE,TRUE,-75,-69.9,-62.9,-7.4,-5.8,-4.2,331800,332310,332820,506,14,34,43,12,1,,,Moderate,Moderate Decline,Uncertain,Large
Brown-headed Gull,Chroicocephalus brunnicephalus,High,Rapid Decline,Decline,Large,Brown-headed Gull,Chroicocephalus brunnicephalus,Brown-headed Gull,Larus brunnicephalus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant & Localized Summer Migrant,FALSE,Least Concern,Schedule-II,,,1400,TRUE,TRUE,TRUE,-79.5,-76.3,-72.7,-6.5,-5.4,-4.2,375130,375600,376070,706,15,34,43,12,0,,,Moderate,Strong Decline,Uncertain,Large
Little Gull,Hydrocoloeus minutus,,,,,Little Gull,Hydrocoloeus minutus,Little Gull,Hydrocoloeus minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,1,,,,25,,,,,,,
Franklin's Gull,Leucophaeus pipixcan,,,,,Franklin's Gull,Leucophaeus pipixcan,Franklin's Gull,Larus pipixcan,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
White-eyed Gull,Ichthyaetus leucophthalmus,,,,,White-eyed Gull,Ichthyaetus leucophthalmus,White-eyed Gull,Larus leucophthalmus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix I,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Sooty Gull,Ichthyaetus hemprichii,,,,,Sooty Gull,Ichthyaetus hemprichii,Sooty Gull,Larus hemprichii,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Pallas's Gull,Ichthyaetus ichthyaetus,Moderate,Decline,Decline,Large,Pallas's Gull,Ichthyaetus ichthyaetus,Pallas's Gull,Larus ichthyaetus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,Appendix II,1000,TRUE,TRUE,TRUE,-63.1,-54.6,-44.8,-5.7,-4.1,-2.5,269490,269950,270410,433,9,33,43,11,1,,,Low,Uncertain,Uncertain,Moderate
Mew Gull,Larus canus,,,,,Common Gull,Larus canus,Mew Gull,Larus canus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Diurnal,Diurnal,Omnivore,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,3,33,,,19,6,,,,,,
Mongolian Gull,Larus smithsonianus mongolicus,,,,,Herring Gull,Larus argentatus,Arctic Herring Gull,Larus smithsonianus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
Caspian Gull,Larus cachinnans,,,,,Caspian Gull,Larus cachinnans,Caspian Gull,Larus cachinnans,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,2,,,,16,3,,,,,,
Lesser Black-backed Gull,Larus fuscus,Moderate,Decline,Stable,Moderate,Lesser Black-backed Gull,Larus fuscus,Lesser Black-backed Gull,Larus fuscus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Winter Migrant,FALSE,Least Concern,Schedule-II,,,,TRUE,TRUE,TRUE,-63.9,-55.7,-45.6,-0.3,2.2,4.6,122310,122720,123130,230,13,39,50,13,1,,,Low,Uncertain,Uncertain,Moderate
Brown Noddy,Anous stolidus,,,,,Brown Noddy,Anous stolidus,Brown Noddy,Anous stolidus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,24 hour,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Resident & Local Migrant,FALSE,Least Concern,Schedule-II,,,,FALSE,FALSE,FALSE,,,,,,,,,,10,20,16,20,6,4,,,,,,
Black Noddy,Anous minutus,,,,,Black Noddy,Anous minutus,Black Noddy,Anous minutus,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",24 hour,Diurnal,Vertebrate & Carrion,Non-endemic,FALSE,FALSE,FALSE,Wetland,Uncertain,FALSE,Least Concern,Schedule-II,,Appendix II,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,
